BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
6284700,7464000,592200,12522100
1813800,3310300,286700,3261100
1872500,2749800,277500,969900
1856000,3245200,277800,954200
1847900,2738000,285100,931100
1847400,2881800,278100,930100
1911200,2820500,277400,935100
1930400,2758400,278400,940200
1846900,2857700,285000,909000
1852200,2976200,278700,902400
2623900,2963900,278200,903500
2633900,3038100,284600,916300
2653000,3012500,278400,894500
2614800,2970500,277900,902400
2594300,2959700,284700,921300
2617400,2977000,326500,901900
2615300,3078100,296100,903400
2620000,2963300,281900,901600
2726600,3006400,288700,902800
2651300,2946900,278800,901300
2601900,2973500,277400,901400
2600100,2987800,279300,901400
2608000,2977100,287000,905400
2602900,2997800,279500,894500
2716100,3053500,317500,904300
2711400,2969600,464100,924700
2613800,2946800,336200,902200
2683100,2954700,294700,901600
2700500,2977900,290900,910100
2636800,2957000,282200,907500
2663400,2965000,284000,901400
2622400,2969800,332800,901200
2596400,3030800,352200,901100
2620600,3004400,307800,894500
2603800,3015900,325900,901100
2613400,2970900,354800,902400
2604200,2984000,412700,914400
2632800,2980200,361000,902900
2611400,3232900,284200,901300
2602800,2976700,277900,902600
2601400,3202300,286300,902300
2630700,3058700,288300,911500
2616400,3102600,277900,967200
2597700,3034200,278200,905500
2600500,2961700,287900,894700
2599000,2990500,281100,911700
2603100,2978100,282100,900200
2604400,2992600,287800,906100
2626800,2969000,289600,900400
2620200,2950801,277300,904000
2654400,2975600,277200,899400
2624900,2964200,285900,899500
2627300,2953300,280300,899300
2640300,2974400,304800,899400
2755700,2957300,304100,899400
2625000,2968300,278800,894500
2625700,2968800,303400,913500
2620400,2961700,366600,899400
2596800,2995000,370100,903800
2605000,2987300,282000,899900
2732800,2948800,343200,1167500
2612800,2988400,339200,1050300
2611200,3033600,281500,943300
2616500,2999300,277700,934000
2636400,2981800,467700,900200
2619600,2984800,365300,899800
2581800,2986200,287200,900100
2591200,2962600,278000,1023300
2616000,2993200,278100,910600
2603800,3108200,278300,900900
2608100,2980400,286600,899900
2603100,2957200,279500,903900
2612900,2973400,277500,894500
2644900,3013900,285100,899600
2535200,2963300,279600,899600
2548400,3119400,278600,899500
2547300,2900200,279300,911200
2609000,2947200,285800,930400
2614400,2968200,278600,899800
2539700,2879700,486200,904400
2703900,3023800,304400,900100
2612400,2953900,309900,900000
2565500,2987600,280900,895700
2545100,2938400,411600,900700
2721200,2924900,278400,905200
2551100,3118500,277900,899900
2561100,2931000,286300,899800
2564200,2912000,278900,899500
2569500,2920800,278600,899500
2634000,2900600,294700,899700
2689600,2893000,301700,908100
2591200,2977000,291700,901400
2583000,2918300,284200,904300
2584000,2951800,291500,895700
2558900,2936500,285100,915400
2558000,2928800,283400,900700
2608700,2955000,298500,911700
2551100,2912800,292300,899600
2567900,2905300,286100,899400
2567400,2922200,291800,900700
