BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
6000,5000,3618600,2289900
5500,5000,3531300,2373400
6100,20900,3292600,2220500
6300,5200,3144400,2217700
6600,5100,3205600,2194800
5300,5000,3143500,2232000
5500,5000,3316300,2266300
6100,5000,3243600,2300900
6100,5000,3259500,2348800
5600,5100,3296400,2401500
5800,5200,3230200,2243300
6800,5300,3268000,2235800
6100,5000,3170600,2244900
5900,5000,4069100,2598300
6100,5100,3629900,2199300
6000,5100,3715000,2719500
6000,5200,3464600,2237000
5600,5200,3401000,2293100
6100,4900,3514400,2176500
6400,5000,3417900,2233700
6500,5000,3442700,2199800
6300,5000,3431600,2230300
5600,5000,3423100,2217400
5300,5100,3754700,2209600
5700,5000,3654700,2255200
5800,5000,3926100,2284300
5900,5000,3956900,2342900
5500,5000,3964500,2218500
6400,5000,3719100,2189900
6100,5000,3464700,2291300
5800,4900,3497600,3157300
5900,5000,3590100,2255400
5900,5000,3574600,2190300
6200,5200,3595100,2188600
6400,5200,4672200,2545500
5800,5000,12371100,2805100
6200,5200,3723300,2545900
5700,5000,3530800,2316800
6100,5000,3521500,2310800
6200,5000,3445100,2397500
5800,5000,3435000,3005400
6000,5300,3438100,2221600
5400,4900,3497300,2184200
5400,5000,3407900,2223400
5600,5200,3595100,2182300
5700,5100,3390100,2267700
5800,5000,3445000,2192700
5600,5300,3395000,2262000
5900,5100,3493900,2194400
5800,5000,3557600,2460700
5700,5100,3694400,2190100
5700,5200,3397800,2517300
5800,5200,3428500,2226400
5700,5000,3444900,2309600
5800,5000,3739900,2186000
5500,4900,3564200,2274500
6700,5300,3458700,2178000
5900,5100,3995800,2227800
6000,5100,3506900,2222000
6600,5000,3461100,2196800
5600,5000,3728300,2228700
7800,4900,3510500,2219100
5900,5200,3490300,2306400
5900,5200,3435000,2206300
6000,5500,3447600,2192700
6200,5400,3441700,2184200
6300,5100,3511700,2210300
5900,5000,3434600,2295100
5500,5100,4271900,2386600
6200,5100,4555500,2311800
6100,5600,3831700,2330200
6400,5300,3473300,2210700
5900,5300,3467900,2194900
6400,5000,3454900,2202300
6100,5000,3638700,2497100
5700,5100,3459000,2197300
5400,5100,3429000,2453800
6500,5200,3415300,2236500
6100,5000,3487100,2205100
5600,5000,3438200,2187100
5900,5000,3527600,2223100
5800,5000,3413400,2223800
5600,5200,3509000,2219600
5600,5300,3425600,2300700
5600,5000,3802900,2438200
5900,5100,3496900,2234500
5500,5000,3680200,2179100
6400,5000,3456300,2338000
7200,5100,3771400,2199500
6600,5100,3422900,2235200
5700,5000,3448500,2203900
5300,5000,3436900,2181600
5400,4900,3451400,2178700
5500,5200,3976400,2397400
6200,5300,3441000,2636700
5900,5100,3451500,2192700
6000,4900,3406700,2265100
5600,5100,3493000,2223700
5600,4900,3447800,3192100
5400,5000,3714000,2224800
